commonName,yearDeployed,project,toppID,serialNumber,isDrifter,time,longitude,latitude,LC,
Northern Elephant Seal,2011,1,2011004,101165,0,2012-01-01T07:52:01Z,36.019,41.444,"B
",10.209999999999999
Northern Elephant Seal,2011,1,2011004,101165,0,2012-01-01T12:10:46Z,36.177,41.419,"B
",10.483
Northern Elephant Seal,2011,1,2011004,101165,0,2012-01-02T02:16:24Z,36.651,41.35,"0
",10.421999999999999
Northern Elephant Seal,2011,1,2011004,101165,0,2012-01-02T06:06:33Z,36.898,41.446,"A
",10.879
Northern Elephant Seal,2011,1,2011004,101165,0,2012-01-02T07:30:28Z,37.002,41.449,"1
",10.7
Northern Elephant Seal,2011,1,2011004,101165,0,2012-01-03T05:55:18Z,37.785,41.426,"B
",10.346
Northern Elephant Seal,2011,1,2011004,101165,0,2012-01-03T07:07:30Z,37.703,41.366,"A
",10.415
Northern Elephant Seal,2011,1,2011004,101165,0,2012-01-03T12:25:18Z,38.07,41.457,"0
",10.423
Northern Elephant Seal,2011,1,2011004,101165,0,2012-01-03T14:07:01Z,38.156,41.451,"B
",10.4
Northern Elephant Seal,2011,1,2011004,101165,0,2012-01-03T15:55:18Z,38.249,41.453,"B
",10.593
Northern Elephant Seal,2011,1,2011004,101165,0,2012-01-03T16:41:43Z,38.327,41.448,"0
",10.619
Northern Elephant Seal,2011,1,2011004,101165,0,2012-01-04T04:00:00Z,38.638,41.458,"B
",10.728
Northern Elephant Seal,2011,1,2011004,101165,0,2012-01-04T06:47:48Z,38.82,41.446,"A
",10.713
Northern Elephant Seal,2011,1,2011004,101165,0,2012-01-04T08:32:48Z,38.817,41.439,"B
",10.692
Northern Elephant Seal,2011,1,2011004,101165,0,2012-01-04T16:24:22Z,39.13,41.41,"B
",11.466
Northern Elephant Seal,2011,1,2011004,101165,0,2012-01-04T22:04:13Z,39.358,41.433,"B
",11.53
Northern Elephant Seal,2011,1,2011004,101165,0,2012-01-05T03:33:45Z,39.547,41.353,"B
",11.516
Northern Elephant Seal,2011,1,2011004,101165,0,2012-01-05T13:44:03Z,39.889,41.313,"1
",11.542
Northern Elephant Seal,2011,1,2011004,101165,0,2012-01-05T15:05:37Z,39.936,41.302,"2
",11.549999999999999
Northern Elephant Seal,2011,1,2011004,101165,0,2012-01-05T15:53:26Z,39.935,41.291,"A
",11.546
Northern Elephant Seal,2011,1,2011004,101165,0,2012-01-05T19:10:18Z,40.04,41.275,"B
",11.541
Northern Elephant Seal,2011,1,2011004,101165,0,2012-01-06T02:23:54Z,40.249,41.176,"B
",11.37
Northern Elephant Seal,2011,1,2011004,101165,0,2012-01-06T05:11:43Z,40.368,41.143,"A
",11.28
Northern Elephant Seal,2011,1,2011004,101165,0,2012-01-06T11:52:01Z,40.596,41.065,"1
",11.026
Northern Elephant Seal,2011,1,2011004,101165,0,2012-01-06T12:49:41Z,40.568,41.061,"A
",11.06
Northern Elephant Seal,2011,1,2011004,101165,0,2012-01-06T14:38:54Z,40.658,41.053,"B
",11.032
Northern Elephant Seal,2011,1,2011004,101165,0,2012-01-06T15:56:43Z,40.737,41.036,"B
",11.008
Northern Elephant Seal,2011,1,2011004,101165,0,2012-01-06T17:39:50Z,40.771,41.02,"0
",11.031
Northern Elephant Seal,2011,1,2011004,101165,0,2012-01-06T23:20:37Z,40.964,40.962,"0
",-2
Northern Elephant Seal,2011,1,2011004,101165,0,2012-01-07T01:05:37Z,40.997,40.98,"B
",-2
Northern Elephant Seal,2011,1,2011004,101165,0,2012-01-07T04:09:22Z,41.183,40.933,"0
",-2
Northern Elephant Seal,2011,1,2011004,101165,0,2012-01-07T11:00:56Z,41.416,40.916,"A
",-2
Northern Elephant Seal,2011,1,2011004,101165,0,2012-01-07T15:49:41Z,41.61,40.903,"B
",-2
Northern Elephant Seal,2011,1,2011004,101165,0,2012-01-07T19:07:30Z,41.663,40.868,"0
",-2
Northern Elephant Seal,2011,1,2011004,101165,0,2012-01-07T19:45:56Z,41.722,40.832,"2
",-2
Northern Elephant Seal,2011,1,2011004,101165,0,2012-01-07T22:24:50Z,41.914,40.832,"A
",-2
Northern Elephant Seal,2011,1,2011004,101165,0,2012-01-08T04:54:22Z,42.102,40.746,"0
",-2
Northern Elephant Seal,2011,1,2011004,101165,0,2012-01-08T12:30:00Z,42.322,40.69,"B
",-2
Northern Elephant Seal,2011,1,2011004,101165,0,2012-01-08T16:19:41Z,42.402,40.652,"B
",-2
Northern Elephant Seal,2011,1,2011004,101165,0,2012-01-08T18:52:01Z,42.503,40.631,"0
",-2
Northern Elephant Seal,2011,1,2011004,101165,0,2012-01-09T02:53:26Z,42.769,40.507,"B
",5.655999999999999
Northern Elephant Seal,2011,1,2011004,101165,0,2012-01-09T10:40:18Z,43.062,40.471,"2
",5.646000000000001
Northern Elephant Seal,2011,1,2011004,101165,0,2012-01-09T15:07:58Z,43.213,40.476,"A
",5.646000000000001
Northern Elephant Seal,2011,1,2011004,101165,0,2012-01-09T20:44:31Z,43.396,40.471,"A
",5.646000000000001
