commonName,yearDeployed,project,toppID,serialNumber,isDrifter,time,longitude,latitude,"LC
",
Northern Elephant Seal,2011,1,2011001,101166,0,2013-06-27T01:01:24Z,42.358,43.359,"B
",24.697
Northern Elephant Seal,2011,1,2011001,101166,0,2013-06-27T07:17:20Z,42.155,43.47,"A
",23.731
Northern Elephant Seal,2011,1,2011001,101166,0,2013-06-27T11:00:28Z,41.942,43.522,"A
",23.596
Northern Elephant Seal,2011,1,2011001,101166,0,2013-06-27T12:39:22Z,41.83,43.596,"A
",23.877
Northern Elephant Seal,2011,1,2011001,101166,0,2013-06-27T19:31:24Z,41.525,43.644,"B
",23.787
Northern Elephant Seal,2011,1,2011001,101166,0,2013-06-27T22:05:37Z,41.492,43.624,"A
",24.242
Northern Elephant Seal,2011,1,2011001,101166,0,2013-06-28T02:17:20Z,41.44,43.682,"A
",24.246
Northern Elephant Seal,2011,1,2011001,101166,0,2013-06-28T10:49:13Z,41.15,43.786,"3
",24.011
Northern Elephant Seal,2011,1,2011001,101166,0,2013-06-28T12:01:52Z,41.144,43.786,"3
",24.011
Northern Elephant Seal,2011,1,2011001,101166,0,2013-06-28T12:49:41Z,41.127,43.792,"1
",24.004
Northern Elephant Seal,2011,1,2011001,101166,0,2013-06-28T13:41:15Z,41.134,43.79,"3
",-1
Northern Elephant Seal,2011,1,2011001,101166,0,2013-06-28T14:09:22Z,41.141,43.788,"3
",24.011
Northern Elephant Seal,2011,1,2011001,101166,0,2013-06-28T23:32:20Z,40.716,43.886,"B
",25.738
Northern Elephant Seal,2011,1,2011001,101166,0,2013-06-29T19:38:54Z,39.712,44.052,"A
",25.153
Northern Elephant Seal,2011,1,2011001,101166,0,2013-07-01T00:45:28Z,38.511,44.276,"B
",25.158
Northern Elephant Seal,2011,1,2011001,101166,0,2013-07-01T19:02:48Z,37.971,44.563,"A
",25.311
Northern Elephant Seal,2011,1,2011001,101166,0,2013-07-02T02:17:48Z,37.615,44.437,"B
",25.703
Northern Elephant Seal,2011,1,2011001,101166,0,2013-07-02T05:38:54Z,37.475,44.43,"B
",25.855
Northern Elephant Seal,2011,1,2011001,101166,0,2013-07-02T07:17:48Z,37.365,44.428,"B
",26.019
Northern Elephant Seal,2011,1,2011001,101166,0,2013-07-02T15:20:09Z,37.085,44.456,"B
",25.831
Northern Elephant Seal,2011,1,2011001,101166,0,2013-07-02T16:10:18Z,37.022,44.473,"B
",25.718
Northern Elephant Seal,2011,1,2011001,101166,0,2013-07-02T20:41:15Z,36.795,44.456,"B
",25.667
Northern Elephant Seal,2011,1,2011001,101166,0,2013-07-03T02:07:01Z,36.614,44.415,"A
",23.749
Northern Elephant Seal,2011,1,2011001,101166,0,2013-07-07T00:18:16Z,33.068,45.066,"0
",23.486
Northern Elephant Seal,2011,1,2011001,101166,0,2013-07-07T01:26:43Z,33.044,45.072,"A
",23.59
Northern Elephant Seal,2011,1,2011001,101166,0,2013-07-07T03:03:45Z,32.946,45.096,"0
",23.483
Northern Elephant Seal,2011,1,2011001,101166,0,2013-07-07T22:20:09Z,32.158,45.16,"B
",23.59
Northern Elephant Seal,2011,1,2011001,101166,0,2013-07-08T00:02:48Z,32.173,45.154,"A
",23.675
Northern Elephant Seal,2011,1,2011001,101166,0,2013-07-08T02:35:09Z,32.07,45.235,"A
",23.45
Northern Elephant Seal,2011,1,2011001,101166,0,2013-07-08T05:55:46Z,31.848,45.226,"B
",23.716
Northern Elephant Seal,2011,1,2011001,101166,0,2013-07-08T08:30:00Z,31.712,45.247,"A
",23.76
Northern Elephant Seal,2011,1,2011001,101166,0,2013-07-08T15:17:20Z,31.475,45.33,"B
",23.914
Northern Elephant Seal,2011,1,2011001,101166,0,2013-07-08T19:23:54Z,31.309,45.396,"A
",23.714
Northern Elephant Seal,2011,1,2011001,101166,0,2013-07-09T02:50:09Z,30.968,45.467,"A
",23.923000000000002
Northern Elephant Seal,2011,1,2011001,101166,0,2013-07-10T07:05:37Z,29.889,45.817,"A
",24.474
Northern Elephant Seal,2011,1,2011001,101166,0,2013-07-10T12:05:37Z,29.68,45.871,"A
",24.464
Northern Elephant Seal,2011,1,2011001,101166,0,2013-07-10T13:42:39Z,29.593,45.907,"B
",24.464
Northern Elephant Seal,2011,1,2011001,101166,0,2013-07-10T18:25:18Z,29.415,45.897,"A
",24.674
Northern Elephant Seal,2011,1,2011001,101166,0,2013-07-10T20:06:33Z,29.54,45.908,"A
",24.451
Northern Elephant Seal,2011,1,2011001,101166,0,2013-07-10T23:35:09Z,29.252,45.981,"0
",25.075
Northern Elephant Seal,2011,1,2011001,101166,0,2013-07-11T03:45:28Z,29.057,46.013,"B
",24.46
Northern Elephant Seal,2011,1,2011001,101166,0,2013-07-11T11:52:58Z,28.825,46.065,"A
",24.047
Northern Elephant Seal,2011,1,2011001,101166,0,2013-07-11T12:58:07Z,28.762,46.081,"A
",23.844
Northern Elephant Seal,2011,1,2011001,101166,0,2013-07-11T13:30:56Z,28.767,46.066,"A
",23.887999999999998
Northern Elephant Seal,2011,1,2011001,101166,0,2013-07-11T14:02:48Z,28.76,46.08,"B
",23.844
Northern Elephant Seal,2011,1,2011001,101166,0,2013-07-11T14:37:01Z,28.734,46.064,"A
",23.916
