commonName,yearDeployed,project,toppID,serialNumber,isDrifter,time,longitude,latitude,LC,
,,,,,,UTC,degrees_east,degrees_north,,
Northern Elephant Seal,2011,1,2011002,101163,0,2012-06-17T15:23:26Z,39.869,42.966,"B
",25.066
Northern Elephant Seal,2011,1,2011002,101163,0,2012-06-17T23:51:05Z,39.418,42.987,"B
",24.139
Northern Elephant Seal,2011,1,2011002,101163,0,2012-06-18T10:47:20Z,39.063,43.004,"A
",24.196
Northern Elephant Seal,2011,1,2011002,101163,0,2012-06-18T12:16:52Z,39.065,42.997,"A
",24.175
Northern Elephant Seal,2011,1,2011002,101163,0,2012-06-18T13:52:01Z,39.08,42.966,"B
",24.137
Northern Elephant Seal,2011,1,2011002,101163,0,2012-06-18T15:02:48Z,39.021,42.985,"A
",24.242
Northern Elephant Seal,2011,1,2011002,101163,0,2012-06-18T17:37:58Z,38.967,42.986,"B
",24.355
Northern Elephant Seal,2011,1,2011002,101163,0,2012-06-18T18:33:45Z,38.923,43.007,"A
",24.382
Northern Elephant Seal,2011,1,2011002,101163,0,2012-06-18T22:01:52Z,38.754,43.012,"B
",24.474
Northern Elephant Seal,2011,1,2011002,101163,0,2012-06-19T04:02:48Z,38.475,43.039,"B
",24.374
Northern Elephant Seal,2011,1,2011002,101163,0,2012-06-19T12:06:33Z,38.112,43.021,"B
",24.619
Northern Elephant Seal,2011,1,2011002,101163,0,2012-06-19T12:57:11Z,38.074,42.993,"B
",24.496
Northern Elephant Seal,2011,1,2011002,101163,0,2012-06-20T10:24:22Z,37.076,42.984,"A
",24.494
Northern Elephant Seal,2011,1,2011002,101163,0,2012-06-20T13:45:28Z,37.106,43.078,"B
",24.339
Northern Elephant Seal,2011,1,2011002,101163,0,2012-06-20T16:46:52Z,36.983,43.084,"A
",24.354
Northern Elephant Seal,2011,1,2011002,101163,0,2012-06-20T17:58:07Z,36.908,43.11,"B
",24.41
Northern Elephant Seal,2011,1,2011002,101163,0,2012-06-21T03:42:39Z,36.483,43.148,"1
",24.803
Northern Elephant Seal,2011,1,2011002,101163,0,2012-06-21T06:52:58Z,36.306,43.12,"1
",24.948
Northern Elephant Seal,2011,1,2011002,101163,0,2012-06-22T16:00:00Z,34.888,43.137,"B
",24.402
Northern Elephant Seal,2011,1,2011002,101163,0,2012-06-23T19:02:48Z,33.636,43.428,"B
",25.1
Northern Elephant Seal,2011,1,2011002,101163,0,2012-06-24T02:59:03Z,33.535,43.358,"A
",25.335
Northern Elephant Seal,2011,1,2011002,101163,0,2012-06-24T04:41:15Z,33.667,43.348,"B
",25.356
Northern Elephant Seal,2011,1,2011002,101163,0,2012-06-25T05:31:24Z,32.484,43.339,"A
",25.264
Northern Elephant Seal,2011,1,2011002,101163,0,2012-06-25T08:54:50Z,32.354,43.209,"B
",25.163
Northern Elephant Seal,2011,1,2011002,101163,0,2012-06-25T18:14:03Z,32.03,43.292,"A
",25.38
Northern Elephant Seal,2011,1,2011002,101163,0,2012-06-25T18:35:37Z,32.054,43.272,"A
",25.344
Northern Elephant Seal,2011,1,2011002,101163,0,2012-06-26T01:18:45Z,31.902,43.368,"B
",25.203
Northern Elephant Seal,2011,1,2011002,101163,0,2012-06-26T04:21:33Z,31.748,43.393,"A
",25.199
Northern Elephant Seal,2011,1,2011002,101163,0,2012-06-26T11:01:52Z,31.429,43.33,"B
",25.527
Northern Elephant Seal,2011,1,2011002,101163,0,2012-06-26T12:32:48Z,31.41,43.314,"B
",25.532
Northern Elephant Seal,2011,1,2011002,101163,0,2012-06-26T14:10:18Z,31.297,43.329,"B
",25.4
Northern Elephant Seal,2011,1,2011002,101163,0,2012-06-27T00:13:35Z,30.943,43.263,"B
",25.071
Northern Elephant Seal,2011,1,2011002,101163,0,2012-06-27T13:55:18Z,30.483,43.207,"B
",25.072
Northern Elephant Seal,2011,1,2011002,101163,0,2012-06-27T19:54:22Z,30.104,43.278,"A
",25.197
Northern Elephant Seal,2011,1,2011002,101163,0,2012-06-27T23:45:56Z,29.951,43.28,"A
",25.12
Northern Elephant Seal,2011,1,2011002,101163,0,2012-06-28T03:10:46Z,29.776,43.244,"B
",25.197
Northern Elephant Seal,2011,1,2011002,101163,0,2012-06-28T05:40:18Z,29.707,43.281,"B
",25.187
Northern Elephant Seal,2011,1,2011002,101163,0,2012-06-28T07:22:58Z,29.683,43.288,"B
",25.184
Northern Elephant Seal,2011,1,2011002,101163,0,2012-06-28T23:37:01Z,28.96,43.356,"B
",23.728
Northern Elephant Seal,2011,1,2011002,101163,0,2012-06-29T01:18:45Z,28.886,43.358,"B
",23.58
Northern Elephant Seal,2011,1,2011002,101163,0,2012-06-29T01:42:39Z,28.865,43.378,"A
",23.551
Northern Elephant Seal,2011,1,2011002,101163,0,2012-06-29T04:25:18Z,28.704,43.364,"A
",24.223
Northern Elephant Seal,2011,1,2011002,101163,0,2012-06-29T11:54:50Z,28.394,43.394,"B
",24.932
Northern Elephant Seal,2011,1,2011002,101163,0,2012-06-29T13:35:09Z,28.386,43.398,"1
",24.909
Northern Elephant Seal,2011,1,2011002,101163,0,2012-06-29T13:58:35Z,28.374,43.405,"2
",24.912
Northern Elephant Seal,2011,1,2011002,101163,0,2012-06-29T15:37:30Z,28.382,43.402,"2
",24.909
Northern Elephant Seal,2011,1,2011002,101163,0,2012-06-29T16:37:58Z,28.382,43.405,"3
",24.909
Northern Elephant Seal,2011,1,2011002,101163,0,2012-06-29T21:25:18Z,28.238,43.412,"0
",24.897
Northern Elephant Seal,2011,1,2011002,101163,0,2012-06-29T23:26:15Z,28.123,43.379,"B
",24.888
Northern Elephant Seal,2011,1,2011002,101163,0,2012-06-30T03:39:22Z,27.988,43.37,"B
",24.872
Northern Elephant Seal,2011,1,2011002,101163,0,2012-06-30T08:52:30Z,27.768,43.365,"B
",24.728
Northern Elephant Seal,2011,1,2011002,101163,0,2012-06-30T12:01:24Z,27.416,43.412,"A
",25.515
Northern Elephant Seal,2011,1,2011002,101163,0,2012-06-30T13:30:00Z,27.517,43.335,"B
",24.794
Northern Elephant Seal,2011,1,2011002,101163,0,2012-06-30T15:07:58Z,27.552,43.332,"B
",24.786
Northern Elephant Seal,2011,1,2011002,101163,0,2012-06-30T16:12:39Z,27.521,43.243,"A
",24.902
Northern Elephant Seal,2011,1,2011002,101163,0,2012-06-30T19:25:18Z,27.337,43.327,"B
",25.383
Northern Elephant Seal,2011,1,2011002,101163,0,2012-06-30T21:43:35Z,27.228,43.322,"B
",25.457
Northern Elephant Seal,2011,1,2011002,101163,0,2012-07-01T05:12:39Z,27.041,43.323,"B
",25.457
Northern Elephant Seal,2011,1,2011002,101163,0,2012-07-01T23:19:13Z,26.658,43.276,"B
",25.736
