commonName,yearDeployed,project,toppID,serialNumber,isDrifter,time,longitude,latitude,LC,,,,
,,,,,,UTC,degrees_east,degrees_north,,,,,
Northern Elephant Seal,2011,1,2011006,101164,0,2012-05-29T15:33:16Z,57.67401,37.109,"B
",-2,,,
Northern Elephant Seal,2011,1,2011006,101164,0,2012-05-30T00:29:31Z,57.663,37.11,"2
",-2,,,
Northern Elephant Seal,2011,1,2011006,101164,0,2012-05-30T02:08:54Z,57.66,37.101,"1
",-2,,,
Northern Elephant Seal,2011,1,2011006,101164,0,2012-05-30T03:03:45Z,57.65799,37.109,"3
",-2,,,
Northern Elephant Seal,2011,1,2011006,101164,0,2012-05-30T04:27:11Z,57.657,37.11,"3
",-2,,,
Northern Elephant Seal,2011,1,2011006,101164,0,2012-05-30T04:31:52Z,57.663,37.11,"2
",-2,,,
Northern Elephant Seal,2011,1,2011006,101164,0,2012-05-30T04:42:39Z,57.663,37.111,"3
",-2,,,
Northern Elephant Seal,2011,1,2011006,101164,0,2012-05-30T06:07:01Z,57.662,37.11,"3
",-2,,,
Northern Elephant Seal,2011,1,2011006,101164,0,2012-05-30T09:04:13Z,57.655,37.118,"0
",-2,,,
Northern Elephant Seal,2011,1,2011006,101164,0,2012-05-30T10:42:39Z,57.66101,37.111,"3
",-2,,,
Northern Elephant Seal,2011,1,2011006,101164,0,2012-05-30T10:44:31Z,57.663,37.111,"3
",-2,,,
Northern Elephant Seal,2011,1,2011006,101164,0,2012-05-31T04:05:37Z,57.663,37.111,"A
",-2,,,
Northern Elephant Seal,2011,1,2011006,101164,0,2012-05-31T04:09:50Z,57.662,37.112,"B
",-2,,,
Northern Elephant Seal,2011,1,2011006,101164,0,2012-05-31T04:30:56Z,57.66501,37.111,"2
",-2,,,
Northern Elephant Seal,2011,1,2011006,101164,0,2012-05-31T05:46:52Z,57.664,37.11,"3
",-2,,,
Northern Elephant Seal,2011,1,2011006,101164,0,2012-05-31T10:31:24Z,57.66,37.111,"2
",-2,,,
Northern Elephant Seal,2011,1,2011006,101164,0,2012-05-31T10:36:05Z,57.663,37.11,"3
",-2,,,
Northern Elephant Seal,2011,1,2011006,101164,0,2012-05-31T12:11:43Z,57.662,37.11,"3
",-2,,,
Northern Elephant Seal,2011,1,2011006,101164,0,2012-06-01T01:21:33Z,57.663,37.109,"3
",-2,,,
Northern Elephant Seal,2011,1,2011006,101164,0,2012-06-01T02:05:09Z,57.666,37.109,"A
",-2,,,
Northern Elephant Seal,2011,1,2011006,101164,0,2012-06-01T02:37:58Z,57.659,37.107,"A
",-2,,,
Northern Elephant Seal,2011,1,2011006,101164,0,2012-06-01T03:43:07Z,57.664,37.111,"3
",-2,,,
Northern Elephant Seal,2011,1,2011006,101164,0,2012-06-01T03:45:56Z,57.66101,37.11,"3
",-2,,,
Northern Elephant Seal,2011,1,2011006,101164,0,2012-06-01T04:20:37Z,57.664,37.11,"3
",-2,,,
Northern Elephant Seal,2011,1,2011006,101164,0,2012-06-01T05:26:43Z,57.66501,37.11,"3
",-2,,,
Northern Elephant Seal,2011,1,2011006,101164,0,2012-06-01T08:45:28Z,57.657,37.107,"2
",-2,,,
Northern Elephant Seal,2011,1,2011006,101164,0,2012-06-01T10:18:16Z,57.66,37.112,"2
",-2,,,
Northern Elephant Seal,2011,1,2011006,101164,0,2012-06-01T10:25:18Z,57.659,37.114,"1
",-2,,,
Northern Elephant Seal,2011,1,2011006,101164,0,2012-06-02T00:55:46Z,57.672,37.112,"1
",-2,,,
Northern Elephant Seal,2011,1,2011006,101164,0,2012-06-02T01:40:46Z,57.66101,37.11,"2
",-2,,,
Northern Elephant Seal,2011,1,2011006,101164,0,2012-06-02T02:26:43Z,57.662,37.109,"2
",-2,,,
Northern Elephant Seal,2011,1,2011006,101164,0,2012-06-02T04:58:07Z,57.65799,37.109,"B
",-2,,,
Northern Elephant Seal,2011,1,2011006,101164,0,2012-06-02T05:04:13Z,57.657,37.109,"3
",-2,,,
Northern Elephant Seal,2011,1,2011006,101164,0,2012-06-02T10:16:24Z,57.66699,37.109,"2
",-2,,,
Northern Elephant Seal,2011,1,2011006,101164,0,2012-06-02T11:52:01Z,57.662,37.11,"A
",-2,,,
Northern Elephant Seal,2011,1,2011006,101164,0,2012-06-03T02:55:18Z,57.66101,37.11,"1
",-2,,,
Northern Elephant Seal,2011,1,2011006,101164,0,2012-06-03T03:55:18Z,57.64801,37.105,"0
",-2,,,
Northern Elephant Seal,2011,1,2011006,101164,0,2012-06-03T04:36:05Z,57.663,37.108,"2
",-2,,,
Northern Elephant Seal,2011,1,2011006,101164,0,2012-06-03T10:05:09Z,57.65799,37.111,"1
",-2,,,
Northern Elephant Seal,2011,1,2011006,101164,0,2012-06-03T11:37:58Z,57.66501,37.11,"3
",-2,,,
Northern Elephant Seal,2011,1,2011006,101164,0,2012-06-03T11:44:31Z,57.663,37.112,"A
",-2,,,
Northern Elephant Seal,2011,1,2011006,101164,0,2012-06-03T12:46:52Z,57.66101,37.11,"A
",-2,,,
Northern Elephant Seal,2011,1,2011006,101164,0,2012-06-04T03:44:03Z,57.66,37.11,"2
",-2,,,
Northern Elephant Seal,2011,1,2011006,101164,0,2012-06-04T04:21:05Z,57.656,37.109,"1
",-2,,,
Northern Elephant Seal,2011,1,2011006,101164,0,2012-06-04T05:23:54Z,57.66101,37.106,"3
",-2,,,
Northern Elephant Seal,2011,1,2011006,101164,0,2012-06-04T06:04:41Z,57.663,37.11,"3
",-2,,,
Northern Elephant Seal,2011,1,2011006,101164,0,2012-06-04T09:54:22Z,57.68399,37.106,"B
",-2,,,
Northern Elephant Seal,2011,1,2011006,101164,0,2012-06-04T14:06:33Z,57.65799,37.117,"1
",-2,,,
Northern Elephant Seal,2011,1,2011006,101164,0,2012-06-04T14:49:41Z,57.668,37.109,"3
",-2,,,
Northern Elephant Seal,2011,1,2011006,101164,0,2012-06-05T05:13:07Z,57.66,37.111,"2
",-2,,,
Northern Elephant Seal,2011,1,2011006,101164,0,2012-06-05T05:43:35Z,57.657,37.11,"3
",-2,,,
Northern Elephant Seal,2011,1,2011006,101164,0,2012-06-05T09:42:39Z,57.662,37.11,"B
",-2,,,
Northern Elephant Seal,2011,1,2011006,101164,0,2012-06-05T11:16:52Z,57.65399,37.112,"2
",-2,,,
Northern Elephant Seal,2011,1,2011006,101164,0,2012-06-05T12:56:15Z,57.663,37.111,"2
",-2,,,
Northern Elephant Seal,2011,1,2011006,101164,0,2012-06-05T13:40:18Z,57.66501,37.11,"A
",-2,,,
Northern Elephant Seal,2011,1,2011006,101164,0,2012-06-06T04:58:07Z,57.66,37.112,"2
",-2,,,
Northern Elephant Seal,2011,1,2011006,101164,0,2012-06-06T04:58:35Z,57.66,37.112,"1
",-2,,,
Northern Elephant Seal,2011,1,2011006,101164,0,2012-06-06T05:04:41Z,57.649,37.108,"B
",-2,,,
Northern Elephant Seal,2011,1,2011006,101164,0,2012-06-06T05:21:33Z,57.663,37.11,"1
",-2,,,
Northern Elephant Seal,2011,1,2011006,101164,0,2012-06-06T07:01:52Z,57.642,37.125,"A
",-2,,,
Northern Elephant Seal,2011,1,2011006,101164,0,2012-06-06T13:13:07Z,57.636,37.115,"0
",-2,,,
Northern Elephant Seal,2011,1,2011006,101164,0,2012-06-06T15:42:39Z,57.66101,37.11,"3
",-2,,,
