commonName,yearDeployed,project,toppID,serialNumber,isDrifter,time,longitude,latitude,LC,
,,,,,,UTC,degrees_east,degrees_north,,
Northern Elephant Seal,2014,1,2014005,101165,0,2014-05-07T13:58:07Z,57.468,37.471,"B
",-2
Northern Elephant Seal,2014,1,2014005,101165,0,2014-05-07T19:37:58Z,57.534,37.118,"A
",-2
Northern Elephant Seal,2014,1,2014005,101165,0,2014-05-07T22:32:20Z,57.66,37.118,"1
",-2
Northern Elephant Seal,2014,1,2014005,101165,0,2014-05-08T00:42:39Z,57.637,37.108,"0
",-2
Northern Elephant Seal,2014,1,2014005,101165,0,2014-05-08T01:42:39Z,57.666,37.113,"A
",-2
Northern Elephant Seal,2014,1,2014005,101165,0,2014-05-09T00:17:48Z,57.664,37.115,"3
",-2
Northern Elephant Seal,2014,1,2014005,101165,0,2014-05-09T01:15:00Z,57.67401,37.114,"A
",-2
Northern Elephant Seal,2014,1,2014005,101165,0,2014-06-06T03:38:26Z,57.937,36.945,"2
",-2
Northern Elephant Seal,2014,1,2014005,101165,0,2014-06-06T04:29:03Z,57.97101,36.95,"B
",-2
Northern Elephant Seal,2014,1,2014005,101165,0,2014-06-06T05:18:16Z,57.94,36.948,"2
",-2
Northern Elephant Seal,2014,1,2014005,101165,0,2014-06-07T00:05:09Z,57.97299,36.939,"B
",-2
Northern Elephant Seal,2014,1,2014005,101165,0,2015-02-10T01:21:33Z,57.623,37.13,"B
",-2
Northern Elephant Seal,2014,1,2014005,101165,0,2015-02-10T04:23:54Z,57.515,37.169,"B
",-2
Northern Elephant Seal,2014,1,2014005,101165,0,2015-02-10T10:03:16Z,57.27899,37.169,"B
",-2
Northern Elephant Seal,2014,1,2014005,101165,0,2015-02-10T13:41:15Z,57.08,37.095,"B
",-2
Northern Elephant Seal,2014,1,2014005,101165,0,2015-02-10T18:30:28Z,56.969,37.085,"B
",-2
Northern Elephant Seal,2014,1,2014005,101165,0,2015-02-11T21:13:35Z,55.87799,37.185,"A
",-2
Northern Elephant Seal,2014,1,2014005,101165,0,2015-02-11T22:52:58Z,55.775,37.202,"B
",-2
Northern Elephant Seal,2014,1,2014005,101165,0,2015-02-12T14:32:48Z,54.939,37.377,"B
",-2
Northern Elephant Seal,2014,1,2014005,101165,0,2015-02-12T17:43:35Z,54.784,37.409,"B
",-2
Northern Elephant Seal,2014,1,2014005,101165,0,2015-02-13T00:13:07Z,54.664,37.68,"B
",10.667
Northern Elephant Seal,2014,1,2014005,101165,0,2015-02-13T11:04:13Z,54.476,38.055,"A
",9.642999999999999
Northern Elephant Seal,2014,1,2014005,101165,0,2015-02-13T14:02:20Z,54.565,38.225,"B
",8.954999999999998
Northern Elephant Seal,2014,1,2014005,101165,0,2015-02-13T15:48:16Z,54.502,38.275,"B
",8.698999999999998
Northern Elephant Seal,2014,1,2014005,101165,0,2015-02-13T20:53:26Z,54.369,38.453,"B
",8.044999999999998
Northern Elephant Seal,2014,1,2014005,101165,0,2015-02-13T23:47:20Z,54.285,38.543,"B
",7.820999999999998
Northern Elephant Seal,2014,1,2014005,101165,0,2015-02-14T01:26:43Z,54.28,38.577,"A
",-1
Northern Elephant Seal,2014,1,2014005,101165,0,2015-02-14T04:47:20Z,54.022,38.638,"A
",6.541
Northern Elephant Seal,2014,1,2014005,101165,0,2015-02-14T10:53:26Z,53.95801,38.783,"B
",6.175000000000001
Northern Elephant Seal,2014,1,2014005,101165,0,2015-02-14T23:47:20Z,53.368,39.104,"A
",6.382999999999999
Northern Elephant Seal,2014,1,2014005,101165,0,2015-02-15T02:43:07Z,53.291,39.196,"A
",6.815000000000001
Northern Elephant Seal,2014,1,2014005,101165,0,2015-02-15T22:09:50Z,52.55,39.634,"B
",9.263
Northern Elephant Seal,2014,1,2014005,101165,0,2015-02-16T02:52:01Z,52.36,39.707,"B
",9.523
Northern Elephant Seal,2014,1,2014005,101165,0,2015-02-16T10:34:41Z,52.10199,39.865,"A
",9.913
Northern Elephant Seal,2014,1,2014005,101165,0,2015-02-16T12:49:41Z,51.987,39.914,"B
",9.905999999999999
Northern Elephant Seal,2014,1,2014005,101165,0,2015-02-16T13:45:56Z,51.999,39.914,"B
",9.899
Northern Elephant Seal,2014,1,2014005,101165,0,2015-02-17T01:05:37Z,51.677,40.236,"B
",9.863
Northern Elephant Seal,2014,1,2014005,101165,0,2015-02-17T14:06:33Z,51.24,40.583,"A
",8.977
Northern Elephant Seal,2014,1,2014005,101165,0,2015-02-17T21:51:05Z,51.106,40.828,"B
",7.780999999999999
