commonName,yearDeployed,project,toppID,serialNumber,isDrifter,time,longitude,latitude,LC,,,,,
,,,,,,UTC,degrees_east,degrees_north,,,,,,
Northern Elephant Seal,2014,1,2014005,101165,0,2014-02-14T17:55:46Z,57.278,37.225,"A
",-2,,,,6
Northern Elephant Seal,2014,1,2014005,101165,0,2014-02-15T01:17:48Z,57.132,37.044,"B
",-2,,,,
Northern Elephant Seal,2014,1,2014005,101165,0,2014-02-17T12:05:09Z,54.284,37.511,"B
",9.927999999999999,,,,
Northern Elephant Seal,2014,1,2014005,101165,0,2014-02-18T06:27:39Z,53.849,37.841,"1
",8.001000000000001,,,,
Northern Elephant Seal,2014,1,2014005,101165,0,2014-02-18T19:09:22Z,53.368,38.125,"B
",8.011,,,,
Northern Elephant Seal,2014,1,2014005,101165,0,2014-02-19T10:03:45Z,52.892,38.436,"B
",8.841999999999999,,,,
Northern Elephant Seal,2014,1,2014005,101165,0,2014-02-19T11:49:13Z,52.84,38.49,"B
",9.338,,,,
Northern Elephant Seal,2014,1,2014005,101165,0,2014-02-19T13:13:35Z,52.765,38.534,"A
",9.854,,,,
Northern Elephant Seal,2014,1,2014005,101165,0,2014-02-19T17:45:00Z,52.676,38.616,"B
",10.374,,,,
Northern Elephant Seal,2014,1,2014005,101165,0,2014-02-19T19:52:01Z,52.716,38.702,"A
",9.708,,,,
Northern Elephant Seal,2014,1,2014005,101165,0,2014-02-19T21:32:20Z,52.638,38.797,"A
",9.985999999999999,,,,
Northern Elephant Seal,2014,1,2014005,101165,0,2014-02-19T23:07:01Z,52.621,38.853,"A
",10.113999999999999,,,,
Northern Elephant Seal,2014,1,2014005,101165,0,2014-02-20T02:04:41Z,52.349,38.966,"A
",10.831,,,,
Northern Elephant Seal,2014,1,2014005,101165,0,2014-02-20T14:58:35Z,52.29001,39.283,"B
",10.738,,,,
Northern Elephant Seal,2014,1,2014005,101165,0,2014-02-20T21:17:48Z,52.23001,39.502,"0
",10.39,,,,
Northern Elephant Seal,2014,1,2014005,101165,0,2014-02-21T11:15:56Z,51.701,39.869,"B
",10.166,,,,
Northern Elephant Seal,2014,1,2014005,101165,0,2014-02-21T12:25:46Z,51.783,39.94,"B
",9.82,,,,
Northern Elephant Seal,2014,1,2014005,101165,0,2014-02-21T14:27:39Z,51.592,39.919,"B
",10.068,,,,
Northern Elephant Seal,2014,1,2014005,101165,0,2014-02-21T19:58:35Z,51.487,40.15,"B
",9.498,,,,
Northern Elephant Seal,2014,1,2014005,101165,0,2014-02-22T09:34:41Z,51.62,40.515,"B
",8.529,,,,
Northern Elephant Seal,2014,1,2014005,101165,0,2014-02-22T11:12:39Z,51.442,40.58,"A
",8.104,,,,
Northern Elephant Seal,2014,1,2014005,101165,0,2014-02-22T13:39:50Z,51.243,40.663,"B
",7.361999999999998,,,,
Northern Elephant Seal,2014,1,2014005,101165,0,2014-02-24T07:11:43Z,50.636,41.806,"B
",5.847000000000001,,,,
Northern Elephant Seal,2014,1,2014005,101165,0,2014-02-24T19:28:07Z,50.34,42.163,"A
",6.123999999999999,,,,
Northern Elephant Seal,2014,1,2014005,101165,0,2014-02-24T23:56:43Z,50.202,42.265,"B
",6.559999999999999,,,,
Northern Elephant Seal,2014,1,2014005,101165,0,2014-02-25T02:42:11Z,50.154,42.366,"A
",6.620999999999999,,,,
Northern Elephant Seal,2014,1,2014005,101165,0,2014-02-25T05:11:43Z,50.1,42.45,"A
",6.594999999999999,,,,
Northern Elephant Seal,2014,1,2014005,101165,0,2014-02-25T15:51:33Z,49.725,42.747,"B
",6.809999999999999,,,,
Northern Elephant Seal,2014,1,2014005,101165,0,2014-02-25T22:07:01Z,49.485,42.907,"A
",6.957000000000001,,,,
Northern Elephant Seal,2014,1,2014005,101165,0,2014-02-26T01:21:05Z,49.475,42.97,"A
",6.864000000000001,,,,
Northern Elephant Seal,2014,1,2014005,101165,0,2014-02-26T02:14:03Z,49.36,42.986,"B
",6.812000000000001,,,,
